timestamp,time_s,preprocess_ms,vision_ms,language_ms,postprocess_ms,total_ms,boxes,points,generated_tokens,pbd_calls,pbd_accepted_tokens,stop_reason,labels,mode
1787058039.5286748,0.2544252872467041,18.015,77.121,175.688,0.042,350.615,1,0,10,3,10,im_end,box,hybrid
1787058039.5287876,0.25453805923461914,18.064,29.067,175.688,0.003,255.45,1,0,10,3,10,im_end,box,hybrid
1787058039.703401,0.4291515350341797,18.46,77.954,174.465,0.017,350.45,1,0,10,3,10,im_end,box,hybrid
1787058039.7034917,0.4292421340942383,18.146,28.85,174.465,0.003,254.001,1,0,10,3,10,im_end,box,hybrid
1787058039.8777027,0.6034531593322754,18.534,77.625,174.068,0.017,348.772,1,0,10,3,10,im_end,box,hybrid
1787058039.8777964,0.6035468578338623,18.563,27.795,174.068,0.003,252.568,1,0,10,3,10,im_end,box,hybrid
1787058040.0513146,0.7770650386810303,18.183,77.537,173.377,0.017,347.687,1,0,10,3,10,im_end,box,hybrid
1787058040.0514119,0.7771623134613037,18.257,28.163,173.377,0.002,251.937,1,0,10,3,10,im_end,box,hybrid
1787058040.2250018,0.9507522583007812,17.902,77.667,173.406,0.018,347.057,1,0,10,3,10,im_end,box,hybrid
1787058040.2251048,0.9508552551269531,18.279,27.736,173.406,0.003,251.441,1,0,10,3,10,im_end,box,hybrid
1787058040.3997748,1.1255252361297607,18.344,77.396,174.546,0.016,348.215,1,0,10,3,10,im_end,box,hybrid
1787058040.3998582,1.1256086826324463,18.082,28.128,174.546,0.003,252.442,1,0,10,3,10,im_end,box,hybrid
1787058040.5756059,1.301356315612793,18.278,77.302,175.602,0.018,350.365,1,0,10,3,10,im_end,box,hybrid
1787058040.5757062,1.3014566898345947,18.345,27.816,175.602,0.003,254.748,1,0,10,3,10,im_end,box,hybrid
1787058040.7534323,1.4791827201843262,18.212,77.47,177.587,0.016,353.386,1,0,10,3,10,im_end,box,hybrid
1787058040.75353,1.4792804718017578,18.065,28.185,177.587,0.003,257.672,1,0,10,3,10,im_end,box,hybrid
1787058040.9297106,1.655461072921753,17.934,78.509,176.049,0.017,353.881,1,0,10,3,10,im_end,box,hybrid
1787058040.9298098,1.6555602550506592,18.331,28.522,176.049,0.003,257.412,1,0,10,3,10,im_end,box,hybrid
1787058041.1036575,1.8294079303741455,17.912,78.759,173.709,0.016,349.995,1,0,10,3,10,im_end,box,hybrid
1787058041.1037848,1.8295352458953857,18.191,28.182,173.709,0.003,253.293,1,0,10,3,10,im_end,box,hybrid
1787058041.277206,2.0029563903808594,18.245,77.459,173.275,0.016,347.26,1,0,10,3,10,im_end,box,hybrid
1787058041.2772954,2.0030457973480225,18.204,28.053,173.275,0.002,251.52,1,0,10,3,10,im_end,box,hybrid
1787058041.4522128,2.1779632568359375,18.385,77.022,174.782,0.016,348.285,1,0,10,3,10,im_end,box,hybrid
1787058041.4523094,2.1780598163604736,18.427,27.733,174.782,0.003,252.851,1,0,10,3,10,im_end,box,hybrid
