elapsed_ms,read_gib_s,write_gib_s,total_gib_s,time_s
51.176,68.73046875,2.947265625,71.677734375,0.0
102.055,110.060546875,1.72265625,111.783203125,0.05087900000000001
152.61,63.9609375,2.876953125,66.837890625,0.10143400000000001
203.101,77.537109375,2.0888671875,79.6259765625,0.151925
254.672,82.11328125,2.6767578125,84.7900390625,0.20349599999999998
304.443,61.373046875,1.68359375,63.056640625,0.253267
354.553,105.861328125,0.9765625,106.837890625,0.303377
403.931,62.3408203125,1.1455078125,63.486328125,0.352755
453.66,85.69140625,0.87109375,86.5625,0.40248400000000006
504.124,75.5703125,1.3193359375,76.8896484375,0.452948
554.207,60.2392578125,2.033203125,62.2724609375,0.503031
604.538,104.8857421875,0.791015625,105.6767578125,0.553362
654.983,71.4609375,0.91015625,72.37109375,0.6038069999999999
705.064,89.845703125,1.0322265625,90.8779296875,0.6538879999999999
754.881,71.8115234375,0.7705078125,72.58203125,0.7037049999999999
804.286,65.0673828125,1.0205078125,66.087890625,0.75311
854.335,89.03125,0.96875,90.0,0.803159
904.06,76.8095703125,0.806640625,77.6162109375,0.8528839999999999
953.919,79.302734375,0.8056640625,80.1083984375,0.902743
1003.771,79.0009765625,0.93359375,79.9345703125,0.9525949999999999
1053.279,67.341796875,1.2578125,68.599609375,1.002103
1103.554,80.23046875,1.4150390625,81.6455078125,1.0523780000000003
1153.563,83.0439453125,1.3935546875,84.4375,1.1023870000000002
1203.102,71.19921875,1.04296875,72.2421875,1.1519260000000002
1253.732,93.041015625,1.0185546875,94.0595703125,1.202556
1303.542,66.3955078125,1.9013671875,68.296875,1.252366
1354.792,71.0615234375,2.5126953125,73.57421875,1.3036159999999999
1405.903,92.7509765625,1.89453125,94.6455078125,1.354727
1456.356,70.3232421875,2.890625,73.2138671875,1.40518
1507.29,109.150390625,1.9765625,111.126953125,1.4561140000000001
1557.887,67.12109375,2.2841796875,69.4052734375,1.506711
1607.798,75.7255859375,1.234375,76.9599609375,1.5566220000000002
1658.121,84.046875,1.4775390625,85.5244140625,1.606945
1708.002,61.1025390625,1.24609375,62.3486328125,1.6568260000000001
1758.652,109.720703125,0.6025390625,110.3232421875,1.7074760000000002
1809.87,65.96875,1.2607421875,67.2294921875,1.758694
1860.371,82.2529296875,1.0234375,83.2763671875,1.809195
1910.451,78.8466796875,1.404296875,80.2509765625,1.859275
1959.844,59.8125,0.98828125,60.80078125,1.908668
2009.761,107.556640625,0.6787109375,108.2353515625,1.958585
2060.652,69.7763671875,1.1669921875,70.943359375,2.0094760000000003
2110.463,88.2080078125,1.0556640625,89.263671875,2.0592870000000003
2161.105,68.8984375,1.1669921875,70.0654296875,2.109929
2210.871,63.763671875,1.82421875,65.587890625,2.159695
2260.962,97.1640625,0.82421875,97.98828125,2.2097860000000003
2310.699,73.6962890625,1.2333984375,74.9296875,2.259523
2360.425,83.466796875,0.8583984375,84.3251953125,2.3092490000000003
2410.995,76.630859375,1.1982421875,77.8291015625,2.359819
2460.067,68.244140625,1.09375,69.337890625,2.408891
2510.665,86.072265625,0.8642578125,86.9365234375,2.459489
