time_s,user_cpu_percent,system_cpu_percent,wait_cpu_percent,process_cpu_percent,process_cpu_18_core_capacity_percent,minor_faults_per_s,major_faults_per_s,vsz_mib,rss_mib
0.0,56.0,17.0,0.0,73.0,4.055555555555555,0.0,0.0,8057.5,174.5625
1.0,51.0,21.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
2.0,58.0,17.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
3.0,58.0,16.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
4.0,54.0,19.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
5.0,55.0,18.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
6.0,57.0,17.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
7.0,54.0,19.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
8.0,58.0,16.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
9.0,56.0,16.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
10.0,53.0,22.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
11.0,54.0,17.0,0.0,71.0,3.9444444444444446,0.0,0.0,8056.9375,174.5625
12.0,57.0,16.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
13.0,60.0,13.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
14.0,57.0,18.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
15.0,57.0,18.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
16.0,54.0,16.0,0.0,70.0,3.888888888888889,0.0,0.0,8056.9375,174.5625
17.0,59.0,16.0,0.0,75.0,4.166666666666667,4.0,0.0,8056.9375,174.5625
18.0,57.0,15.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
19.0,54.0,20.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
20.0,60.0,14.0,1.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
21.0,54.0,20.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
22.0,55.0,17.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
23.0,58.0,18.0,0.0,76.0,4.222222222222222,0.0,0.0,8056.9375,174.5625
24.0,57.0,16.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
25.0,59.0,16.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
26.0,56.0,18.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
27.0,58.0,16.0,1.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
28.0,59.0,13.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
29.0,59.0,16.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
30.0,58.0,15.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
31.0,58.0,16.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
