time_s,user_cpu_percent,system_cpu_percent,wait_cpu_percent,process_cpu_percent,process_cpu_18_core_capacity_percent,minor_faults_per_s,major_faults_per_s,vsz_mib,rss_mib
32.0,60.0,13.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
33.0,59.0,14.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
34.0,55.0,17.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
35.0,58.0,16.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
36.0,54.0,19.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
37.0,60.0,14.0,1.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
38.0,54.0,21.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
39.0,54.0,18.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
40.0,54.0,18.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
41.0,61.0,11.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
42.0,56.0,19.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
43.0,57.0,16.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
44.0,73.0,17.0,2.0,90.0,5.0,0.0,0.0,8056.9375,174.5625
45.0,58.0,15.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
46.0,53.0,18.0,1.0,71.0,3.9444444444444446,0.0,0.0,8056.9375,174.5625
47.0,85.0,22.0,2.0,107.0,5.944444444444445,0.0,0.0,8056.9375,174.5625
48.0,61.0,18.0,1.0,79.0,4.388888888888889,0.0,0.0,8056.9375,174.5625
49.0,58.0,18.0,0.0,76.0,4.222222222222222,1.0,0.0,8056.9375,174.5625
50.0,54.0,17.0,0.0,71.0,3.9444444444444446,0.0,0.0,8056.9375,174.5625
51.0,60.0,14.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
52.0,55.0,17.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
53.0,57.0,17.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
54.0,58.0,16.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
55.0,62.0,13.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
56.0,58.0,15.0,1.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
57.0,54.0,17.0,0.0,71.0,3.9444444444444446,0.0,0.0,8056.9375,174.5625
58.0,51.0,22.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
59.0,57.0,17.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
60.0,54.0,18.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
61.0,58.0,19.0,0.0,77.0,4.277777777777778,0.0,0.0,8056.9375,174.5625
62.0,59.0,14.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
63.0,53.0,19.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
64.0,59.0,15.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
65.0,60.0,13.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
66.0,75.0,19.0,2.0,94.0,5.222222222222222,0.0,0.0,8056.9375,174.5625
67.0,56.0,18.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
68.0,59.0,12.0,0.0,71.0,3.9444444444444446,0.0,0.0,8056.9375,174.5625
69.0,58.0,16.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
70.0,57.0,16.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
71.0,61.0,15.0,0.0,76.0,4.222222222222222,0.0,0.0,8056.9375,174.5625
72.0,60.0,13.0,0.0,73.0,4.055555555555555,1.0,0.0,8056.9375,174.5625
73.0,58.0,16.0,1.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
74.0,55.0,16.0,0.0,71.0,3.9444444444444446,0.0,0.0,8056.9375,174.5625
75.0,62.0,13.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
76.0,54.0,18.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
77.0,58.0,16.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
78.0,57.0,17.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
79.0,55.0,19.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
80.0,63.0,9.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
81.0,60.0,14.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
82.0,60.0,13.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
83.0,66.0,8.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
84.0,57.0,17.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
85.0,58.0,16.0,1.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
86.0,59.0,15.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
87.0,56.0,16.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
88.0,58.0,17.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
89.0,62.0,11.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
90.0,56.0,18.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
91.0,50.0,22.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
92.0,58.0,17.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
93.0,58.0,15.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
94.0,62.0,12.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
95.0,63.0,10.0,1.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
96.0,47.0,28.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
97.0,51.0,21.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
98.0,53.0,21.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
99.0,55.0,18.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
100.0,60.0,14.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
101.0,63.0,11.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
102.0,73.0,6.0,0.0,79.0,4.388888888888889,0.0,0.0,8056.9375,174.5625
103.0,63.0,11.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
104.0,60.0,13.0,1.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
105.0,64.0,11.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
106.0,64.0,10.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
107.0,61.0,13.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
108.0,57.0,27.0,1.0,84.0,4.666666666666667,0.0,0.0,8056.9375,174.5625
109.0,62.0,11.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
110.0,58.0,14.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
111.0,52.0,23.0,0.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
112.0,59.0,14.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
113.0,55.0,20.0,1.0,75.0,4.166666666666667,0.0,0.0,8056.9375,174.5625
114.0,54.0,26.0,0.0,80.0,4.444444444444445,0.0,0.0,8056.9375,174.5625
115.0,55.0,17.0,0.0,72.0,4.0,0.0,0.0,8056.9375,174.5625
116.0,57.0,16.0,0.0,73.0,4.055555555555555,0.0,0.0,8056.9375,174.5625
117.0,52.0,22.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
118.0,54.0,20.0,0.0,74.0,4.111111111111111,0.0,0.0,8056.9375,174.5625
