time_s,bpu0_percent,bpu1_percent,bpu2_percent,bpu3_percent,four_core_mean_percent
0.6383235873060024,83.0,81.0,80.0,79.0,80.75
1.9149707619180072,89.0,89.0,89.0,88.0,88.75
3.1916179365300117,89.0,88.0,88.0,88.0,88.25
4.468265111142016,93.0,92.0,90.0,88.0,90.75
5.744912285754022,47.0,94.0,93.0,92.0,81.5
7.021559460366026,79.0,75.0,71.0,68.0,73.25
8.298206634978031,91.0,90.0,90.0,90.0,90.25
9.574853809590035,54.0,53.0,52.0,52.0,52.75
10.85150098420204,89.0,89.0,88.0,91.0,89.25
12.128148158814044,88.0,93.0,93.0,93.0,91.75
13.40479533342605,79.0,79.0,78.0,78.0,78.5
14.681442508038055,92.0,91.0,90.0,89.0,90.5
15.958089682650058,93.0,92.0,91.0,90.0,91.5
17.234736857262064,67.0,66.0,65.0,63.0,65.25
18.51138403187407,93.0,92.0,92.0,92.0,92.25
19.788031206486075,91.0,87.0,82.0,75.0,83.75
21.064678381098076,93.0,93.0,93.0,92.0,92.75
22.341325555710082,72.0,71.0,70.0,69.0,70.5
23.617972730322087,90.0,88.0,87.0,86.0,87.75
24.894619904934093,100.0,100.0,97.0,95.0,98.0
26.171267079546098,62.0,61.0,60.0,59.0,60.5
27.4479142541581,84.0,83.0,82.0,81.0,82.5
28.724561428770105,100.0,100.0,97.0,93.0,97.5
30.00120860338211,89.0,88.0,88.0,88.0,88.25
31.277855777994116,74.0,73.0,73.0,73.0,73.25
32.55450295260612,92.0,92.0,91.0,90.0,91.25
33.83115012721812,95.0,95.0,94.0,94.0,94.5
35.10779730183013,74.0,73.0,72.0,72.0,72.75
36.384444476442134,91.0,91.0,91.0,90.0,90.75
37.661091651054136,91.0,90.0,90.0,90.0,90.25
38.937738825666145,82.0,81.0,81.0,80.0,81.0
40.21438600027815,62.0,61.0,100.0,100.0,80.75
41.491033174890156,91.0,88.0,84.0,81.0,86.0
42.76768034950216,92.0,91.0,91.0,91.0,91.25
44.044327524114166,57.0,56.0,55.0,54.0,55.5
45.32097469872617,92.0,92.0,92.0,91.0,91.75
46.59762187333817,92.0,88.0,85.0,82.0,86.75
47.87426904795018,86.0,85.0,85.0,84.0,85.0
49.15091622256218,89.0,88.0,88.0,88.0,88.25
50.42756339717419,95.0,94.0,93.0,93.0,93.75
51.70421057178619,88.0,87.0,87.0,86.0,87.0
52.98085774639819,49.0,48.0,90.0,89.0,69.0
54.2575049210102,94.0,93.0,93.0,92.0,93.0
55.534152095622204,100.0,100.0,100.0,100.0,100.0
56.81079927023421,54.0,54.0,53.0,52.0,53.25
58.087446444846215,91.0,91.0,90.0,90.0,90.5
59.36409361945822,88.0,87.0,86.0,86.0,86.75
60.640740794070226,65.0,64.0,63.0,62.0,63.5
61.91738796868223,90.0,89.0,89.0,89.0,89.25
63.194035143294236,89.0,94.0,93.0,93.0,92.25
64.47068231790624,90.0,88.0,87.0,85.0,87.5
65.74732949251825,90.0,89.0,89.0,88.0,89.0
67.02397666713024,91.0,90.0,90.0,90.0,90.25
68.30062384174225,87.0,85.0,83.0,81.0,84.0
69.57727101635426,81.0,80.0,80.0,80.0,80.25
70.85391819096627,94.0,93.0,92.0,91.0,92.5
72.13056536557826,93.0,92.0,91.0,91.0,91.75
73.40721254019027,83.0,83.0,83.0,82.0,82.75
74.68385971480228,87.0,87.0,93.0,92.0,89.75
75.96050688941428,93.0,92.0,92.0,91.0,92.0
77.23715406402629,73.0,72.0,71.0,69.0,71.25
78.5138012386383,92.0,92.0,91.0,91.0,91.5
79.79044841325029,91.0,90.0,90.0,90.0,90.25
81.0670955878623,82.0,81.0,79.0,78.0,80.0
82.3437427624743,80.0,79.0,79.0,79.0,79.25
83.62038993708632,93.0,92.0,92.0,92.0,92.25
84.89703711169831,92.0,90.0,88.0,87.0,89.25
86.17368428631032,77.0,77.0,76.0,76.0,76.5
87.45033146092233,92.0,91.0,91.0,90.0,91.0
88.72697863553432,91.0,90.0,89.0,88.0,89.5
90.00362581014633,78.0,77.0,76.0,75.0,76.5
91.28027298475834,90.0,90.0,90.0,89.0,89.75
92.55692015937034,66.0,63.0,61.0,58.0,62.0
93.83356733398234,87.0,87.0,86.0,86.0,86.5
95.11021450859435,48.0,95.0,94.0,93.0,82.5
96.38686168320636,81.0,78.0,75.0,72.0,76.5
97.66350885781836,90.0,90.0,89.0,89.0,89.5
98.94015603243037,81.0,81.0,80.0,79.0,80.25
100.21680320704237,89.0,92.0,92.0,92.0,91.25
101.49345038165437,93.0,90.0,86.0,83.0,88.0
102.77009755626638,86.0,86.0,86.0,85.0,85.75
104.04674473087839,90.0,90.0,89.0,89.0,89.5
105.3233919054904,89.0,89.0,88.0,88.0,88.5
106.60003908010239,97.0,96.0,96.0,95.0,96.0
107.8766862547144,72.0,71.0,70.0,69.0,70.5
109.15333342932641,92.0,91.0,91.0,91.0,91.25
110.4299806039384,81.0,78.0,76.0,73.0,77.0
111.70662777855041,86.0,85.0,85.0,85.0,85.25
112.98327495316242,90.0,90.0,89.0,89.0,89.5
114.25992212777442,86.0,86.0,85.0,85.0,85.5
115.53656930238643,90.0,90.0,89.0,88.0,89.25
116.81321647699843,56.0,55.0,55.0,54.0,55.0
118.08986365161044,91.0,90.0,90.0,89.0,90.0
119.36651082622244,86.0,85.0,94.0,94.0,89.75
