time_s,bpu0_percent,bpu1_percent,bpu2_percent,bpu3_percent,four_core_mean_percent
0.631601639797813,72.0,72.0,72.0,71.0,71.75
1.894804919393439,66.0,65.0,64.0,63.0,64.5
3.158008198989065,77.0,76.0,76.0,75.0,76.0
4.421211478584691,74.0,73.0,72.0,71.0,72.5
5.684414758180317,81.0,81.0,80.0,80.0,80.5
6.9476180377759436,86.0,84.0,83.0,82.0,83.75
8.21082131737157,83.0,82.0,82.0,82.0,82.25
9.474024596967196,89.0,88.0,86.0,85.0,87.0
10.737227876562821,83.0,83.0,83.0,83.0,83.0
12.000431156158447,82.0,80.0,78.0,99.0,84.75
13.263634435754074,80.0,79.0,79.0,78.0,79.0
14.5268377153497,85.0,85.0,84.0,83.0,84.25
15.790040994945326,100.0,100.0,100.0,100.0,100.0
17.05324427454095,83.0,83.0,82.0,82.0,82.5
18.316447554136577,85.0,84.0,84.0,83.0,84.0
19.579650833732202,100.0,100.0,100.0,98.0,99.5
20.84285411332783,83.0,83.0,82.0,82.0,82.5
22.106057392923457,83.0,83.0,82.0,82.0,82.5
23.369260672519083,85.0,84.0,84.0,83.0,84.0
24.63246395211471,78.0,77.0,76.0,75.0,76.5
25.895667231710334,80.0,80.0,80.0,79.0,79.75
27.15887051130596,87.0,85.0,84.0,83.0,84.75
28.422073790901585,75.0,74.0,84.0,83.0,79.0
29.68527707049721,62.0,61.0,60.0,59.0,60.5
30.94848035009284,73.0,72.0,72.0,71.0,72.0
32.211683629688466,64.0,63.0,62.0,61.0,62.5
33.47488690928409,78.0,77.0,77.0,77.0,77.25
34.73809018887972,78.0,78.0,77.0,77.0,77.5
36.001293468475346,73.0,71.0,70.0,69.0,70.75
37.26449674807097,80.0,79.0,79.0,79.0,79.25
38.5277000276666,83.0,82.0,82.0,81.0,82.0
39.79090330726222,96.0,94.0,93.0,92.0,93.75
41.05410658685785,78.0,78.0,84.0,83.0,80.75
42.31730986645347,71.0,100.0,99.0,97.0,91.75
43.5805131460491,79.0,78.0,77.0,76.0,77.5
44.84371642564472,82.0,82.0,82.0,81.0,81.75
46.10691970524035,80.0,79.0,78.0,77.0,78.5
47.37012298483598,83.0,82.0,82.0,86.0,83.25
48.6333262644316,84.0,83.0,83.0,82.0,83.0
49.89652954402723,90.0,88.0,87.0,86.0,87.75
51.15973282362285,80.0,80.0,85.0,84.0,82.25
52.42293610321848,76.0,75.0,90.0,88.0,82.25
53.686139382814105,79.0,79.0,79.0,79.0,79.0
54.949342662409734,80.0,80.0,79.0,78.0,79.25
56.21254594200536,83.0,82.0,82.0,82.0,82.25
57.475749221600985,82.0,82.0,82.0,81.0,81.75
58.738952501196614,77.0,77.0,77.0,76.0,76.75
60.002155780792236,74.0,74.0,73.0,73.0,73.5
61.265359060387865,79.0,79.0,78.0,78.0,78.5
62.52856233998349,76.0,75.0,74.0,74.0,74.75
63.79176561957912,71.0,70.0,69.0,68.0,69.5
65.05496889917474,81.0,80.0,80.0,79.0,80.0
66.31817217877037,82.0,81.0,81.0,81.0,81.25
67.581375458366,87.0,87.0,86.0,86.0,86.5
68.84457873796163,70.0,91.0,89.0,88.0,84.5
70.10778201755724,80.0,80.0,79.0,79.0,79.5
71.37098529715287,83.0,82.0,81.0,80.0,81.5
72.6341885767485,100.0,100.0,97.0,95.0,98.0
73.89739185634413,80.0,87.0,87.0,86.0,85.0
75.16059513593974,82.0,82.0,81.0,75.0,80.0
76.42379841553537,81.0,80.0,79.0,78.0,79.5
77.687001695131,83.0,82.0,82.0,81.0,82.0
78.95020497472663,85.0,84.0,83.0,82.0,83.5
80.21340825432226,84.0,84.0,83.0,83.0,83.5
81.47661153391788,87.0,86.0,85.0,84.0,85.5
82.7398148135135,85.0,84.0,84.0,83.0,84.0
84.00301809310913,85.0,84.0,83.0,82.0,83.5
85.26622137270476,83.0,83.0,82.0,82.0,82.5
86.52942465230039,80.0,80.0,79.0,79.0,79.5
87.792627931896,85.0,84.0,83.0,82.0,83.5
89.05583121149164,76.0,76.0,75.0,75.0,75.5
90.31903449108727,67.0,66.0,65.0,65.0,65.75
91.5822377706829,78.0,78.0,77.0,77.0,77.5
92.84544105027851,78.0,78.0,77.0,76.0,77.25
94.10864432987414,81.0,81.0,80.0,80.0,80.5
95.37184760946977,81.0,80.0,79.0,77.0,79.25
96.6350508890654,83.0,82.0,82.0,82.0,82.25
97.89825416866103,77.0,86.0,85.0,85.0,83.25
99.16145744825664,81.0,81.0,80.0,80.0,80.5
100.42466072785227,82.0,81.0,80.0,80.0,80.75
101.6878640074479,91.0,87.0,84.0,81.0,85.75
102.95106728704353,85.0,84.0,84.0,83.0,84.0
104.21427056663914,72.0,100.0,100.0,100.0,93.0
105.47747384623477,81.0,80.0,90.0,89.0,85.0
106.7406771258304,83.0,82.0,82.0,86.0,83.25
108.00388040542603,85.0,84.0,83.0,82.0,83.5
109.26708368502166,84.0,84.0,83.0,83.0,83.5
110.53028696461728,75.0,89.0,87.0,86.0,84.25
111.7934902442129,79.0,79.0,78.0,78.0,78.5
113.05669352380853,79.0,78.0,78.0,77.0,78.0
114.31989680340416,82.0,82.0,81.0,81.0,81.5
115.58310008299978,68.0,84.0,83.0,83.0,79.5
116.8463033625954,61.0,60.0,59.0,58.0,59.5
118.10950664219104,77.0,77.0,76.0,76.0,76.5
119.37270992178667,72.0,71.0,70.0,69.0,70.5
