timestamp,time_s,preprocess_ms,vision_ms,language_ms,postprocess_ms,total_ms,boxes,points,generated_tokens,pbd_calls,pbd_accepted_tokens,stop_reason,labels,mode
1787057801.6341891,5.883571624755859,18.18,47.352,128.086,0.015,255.444,1,0,10,3,10,im_end,box,hybrid
1787057801.7618115,6.0111939907073975,18.487,46.866,127.411,0.015,255.702,1,0,10,3,10,im_end,box,hybrid
1787057801.8880715,6.137454032897949,18.483,47.078,126.089,0.015,253.67,1,0,10,3,10,im_end,box,hybrid
1787057802.0146751,6.264057636260986,18.607,46.943,126.396,0.015,252.683,1,0,10,3,10,im_end,box,hybrid
1787057802.1416817,6.391064167022705,18.571,46.823,126.826,0.014,253.403,1,0,10,3,10,im_end,box,hybrid
1787057802.2714295,6.520812034606934,18.684,46.888,129.566,0.014,256.565,1,0,10,3,10,im_end,box,hybrid
1787057802.4003072,6.649689674377441,18.381,48.021,128.7,0.014,258.442,1,0,10,3,10,im_end,box,hybrid
1787057802.5272858,6.776668310165405,19.129,47.053,126.794,0.014,255.674,1,0,10,3,10,im_end,box,hybrid
1787057802.6561117,6.905494213104248,19.092,46.301,128.651,0.013,255.617,1,0,10,3,10,im_end,box,hybrid
1787057802.7835822,7.032964706420898,18.438,47.06,127.302,0.014,256.124,1,0,10,3,10,im_end,box,hybrid
1787057802.911015,7.160397529602051,18.79,46.633,127.21,0.015,254.722,1,0,10,3,10,im_end,box,hybrid
1787057803.0378466,7.287229061126709,18.268,47.357,126.606,0.032,254.046,1,0,10,3,10,im_end,box,hybrid
1787057803.1648667,7.4142491817474365,18.739,46.752,126.85,0.016,253.644,1,0,10,3,10,im_end,box,hybrid
1787057803.2919772,7.5413596630096436,18.671,46.846,126.941,0.014,253.956,1,0,10,3,10,im_end,box,hybrid
1787057803.4202504,7.669632911682129,18.652,47.105,128.085,0.015,255.204,1,0,10,3,10,im_end,box,hybrid
1787057803.549275,7.798657417297363,18.795,47.188,128.841,0.015,257.107,1,0,10,3,10,im_end,box,hybrid
1787057803.6791635,7.928545951843262,18.776,47.381,129.711,0.016,258.727,1,0,10,3,10,im_end,box,hybrid
1787057803.8063393,8.055721759796143,18.622,47.776,126.992,0.014,256.885,1,0,10,3,10,im_end,box,hybrid
1787057803.9330919,8.182474374771118,18.87,46.805,126.577,0.014,253.734,1,0,10,3,10,im_end,box,hybrid
1787057804.0594122,8.308794736862183,18.477,47.269,126.148,0.014,252.896,1,0,10,3,10,im_end,box,hybrid
1787057804.185794,8.435176610946655,18.874,46.592,126.217,0.012,252.529,1,0,10,3,10,im_end,box,hybrid
1787057804.3127742,8.562156677246094,19.23,46.173,126.767,0.014,253.133,1,0,10,3,10,im_end,box,hybrid
1787057804.4408283,8.690210819244385,18.732,46.661,127.809,0.019,254.832,1,0,10,3,10,im_end,box,hybrid
1787057804.567694,8.817076444625854,18.642,47.148,126.653,0.015,254.708,1,0,10,3,10,im_end,box,hybrid
1787057804.694875,8.944257497787476,18.408,47.192,126.994,0.014,253.827,1,0,10,3,10,im_end,box,hybrid
1787057804.8232412,9.07262372970581,18.665,46.9,128.189,0.015,255.367,1,0,10,3,10,im_end,box,hybrid
1787057804.9526541,9.202036619186401,18.288,47.997,129.22,0.025,257.59,1,0,10,3,10,im_end,box,hybrid
1787057805.0794697,9.32885217666626,18.469,47.713,126.635,0.022,256.052,1,0,10,3,10,im_end,box,hybrid
1787057805.2063463,9.455728769302368,18.382,47.094,126.7,0.013,253.515,1,0,10,3,10,im_end,box,hybrid
1787057805.3336067,9.58298921585083,18.305,47.261,127.051,0.014,253.958,1,0,10,3,10,im_end,box,hybrid
