time_s,rss_mib,vm_hwm_mib,mem_available_mib,ion_cma_mib,ion_uncache_mib
0.0,174.5625,174.6875,12179.875,0.0,302.0625
0.5431129932403564,174.5625,174.6875,12126.8125,0.0,302.0625
1.079160451889038,174.5625,174.6875,12137.5625,0.0,302.0625
1.6206018924713135,174.5625,174.6875,12132.3125,0.0,302.0625
2.1608850955963135,174.5625,174.6875,12134.1875,0.0,302.0625
2.6970157623291016,174.5625,174.6875,12118.625,0.0,302.0625
3.235173225402832,174.5625,174.6875,12149.1875,0.0,302.0625
3.773606777191162,174.5625,174.6875,12135.875,0.0,302.0625
4.3152382373809814,174.5625,174.6875,12139.0,0.0,302.0625
4.855489015579224,174.5625,174.6875,12125.5,0.0,302.0625
5.392869472503662,174.5625,174.6875,12123.8125,0.0,302.0625
5.9292027950286865,174.5625,174.6875,12147.375,0.0,302.0625
6.470548629760742,174.5625,174.6875,12133.375,0.0,302.0625
7.012986421585083,174.5625,174.6875,12142.9375,0.0,302.0625
7.551175117492676,174.5625,174.6875,12129.4375,0.0,302.0625
8.089473962783813,174.5625,174.6875,12120.4375,0.0,302.0625
8.626927852630615,174.5625,174.6875,12119.375,0.0,302.0625
9.16795039176941,174.5625,174.6875,12128.875,0.0,302.0625
9.70791482925415,174.5625,174.6875,12138.625,0.0,302.0625
10.245526313781738,174.5625,174.6875,12138.75,0.0,302.0625
10.780799388885498,174.5625,174.6875,12126.0,0.0,302.0625
11.322319269180298,174.5625,174.6875,12131.25,0.0,302.0625
11.864938259124756,174.5625,174.6875,12119.375,0.0,302.0625
12.404176473617554,174.5625,174.6875,12136.8125,0.0,302.0625
12.94206166267395,174.5625,174.6875,12134.875,0.0,302.0625
13.478473901748657,174.5625,174.6875,12110.8125,0.0,302.0625
14.018985033035278,174.5625,174.6875,12126.0625,0.0,302.0625
14.559922933578491,174.5625,174.6875,12138.5,0.0,302.0625
15.097177267074585,174.5625,174.6875,12131.375,0.0,302.0625
15.634058237075806,174.5625,174.6875,12130.9375,0.0,302.0625
16.169609308242798,174.5625,174.6875,12121.0,0.0,302.0625
16.710227727890015,174.5625,174.6875,12127.125,0.0,302.0625
17.25292134284973,174.5625,174.6875,12142.5625,0.0,302.0625
17.790695667266846,174.5625,174.6875,12134.75,0.0,302.0625
18.3288094997406,174.5625,174.6875,12146.375,0.0,302.0625
18.866520643234253,174.5625,174.6875,12139.5625,0.0,302.0625
19.408554077148438,174.5625,174.6875,12136.4375,0.0,302.0625
19.948540687561035,174.5625,174.6875,12139.4375,0.0,302.0625
20.487420320510864,174.5625,174.6875,12133.3125,0.0,302.0625
21.02272367477417,174.5625,174.6875,12131.1875,0.0,302.0625
21.563461303710938,174.5625,174.6875,12131.375,0.0,302.0625
22.104515314102173,174.5625,174.6875,12135.125,0.0,302.0625
22.64069938659668,174.5625,174.6875,12136.8125,0.0,302.0625
23.17813229560852,174.5625,174.6875,12132.75,0.0,302.0625
23.717357397079468,174.5625,174.6875,12135.75,0.0,302.0625
24.259154558181763,174.5625,174.6875,12140.1875,0.0,302.0625
24.798515796661377,174.5625,174.6875,12133.3125,0.0,302.0625
25.336371421813965,174.5625,174.6875,12137.1875,0.0,302.0625
25.872556447982788,174.5625,174.6875,12113.0,0.0,302.0625
26.41347360610962,174.5625,174.6875,12124.9375,0.0,302.0625
26.954139471054077,174.5625,174.6875,12115.625,0.0,302.0625
27.492297887802124,174.5625,174.6875,12138.1875,0.0,302.0625
28.030792951583862,174.5625,174.6875,12141.25,0.0,302.0625
28.56918168067932,174.5625,174.6875,12125.875,0.0,302.0625
29.110478162765503,174.5625,174.6875,12138.4375,0.0,302.0625
29.651649713516235,174.5625,174.6875,12143.0,0.0,302.0625
30.188396215438843,174.5625,174.6875,12124.6875,0.0,302.0625
30.723787307739258,174.5625,174.6875,12114.5625,0.0,302.0625
31.265166759490967,174.5625,174.6875,12145.3125,0.0,302.0625
31.807387351989746,174.5625,174.6875,12143.75,0.0,302.0625
32.34477138519287,174.5625,174.6875,12131.6875,0.0,302.0625
32.88315486907959,174.5625,174.6875,12127.625,0.0,302.0625
33.42141604423523,174.5625,174.6875,12125.375,0.0,302.0625
33.96312665939331,174.5625,174.6875,12104.5,0.0,302.0625
34.503252029418945,174.5625,174.6875,12120.75,0.0,302.0625
35.040998220443726,174.5625,174.6875,12148.1875,0.0,302.0625
